TimeStamp,SubTest,Step,Target.X,Target.Y,LeftPupil.X,LeftPupil.Y,RightPupil.X,RightPupil.Y,slno,TimeMillis,velocity_left,velocity_right,distance_left,distance_right,net_distance_left,net_distance_right,fixation_left,fixation_right
10400,0,-1,0,5e-324,8.40791130065918,46.44360733032229,11.4897937774658,20.8845539093018,260,10.4,47.03922271728416,86.39073371886954,1.8815689086914098,3.4556293487548615,1.8815689086914098,3.4556293487548615,0,0
10440,0,-1,0,5e-324,7.65051603317261,51.5916213989258,11.375727653503402,23.1540145874023,261,10.44,18.934881687164644,2.8516530990600306,0.7573952674865696,0.11406612396239879,-0.7573952674865696,-0.11406612396239879,1,1
10480,0,-1,0,5e-324,8.04735374450684,54.88127136230471,11.7721881866455,27.688787460327106,262,10.48,9.920942783355507,9.911513328552239,0.3968377113342294,0.3964605331420987,0.3968377113342294,0.3964605331420987,1,1
10520,0,-1,0,5e-324,8.69047355651855,59.8709831237793,12.519031524658198,31.9521980285645,263,10.52,16.07799530029309,18.671083450317827,0.6431198120117099,0.7468433380126971,0.6431198120117099,0.7468433380126971,1,1
10560,0,-1,0,5e-324,9.12607192993164,62.57726669311521,12.9029121398926,33.2766609191895,264,10.56,10.88995933532703,9.597015380859819,0.43559837341309127,0.38388061523440165,0.43559837341309127,0.38388061523440165,1,1
10600,0,-1,0,5e-324,9.187615394592287,63.2720260620117,12.709117889404302,34.0351181030273,265,10.6,1.5385866165161906,4.844856262207534,0.06154346466064631,0.19379425048829724,0.06154346466064631,-0.19379425048829724,1,1
10640,0,-1,0,5e-324,8.56259059906006,63.5832405090332,11.747447967529302,35.4074668884277,266,10.64,15.625619888305303,24.041748046874446,0.6250247955322266,0.961669921875,-0.6250247955322266,-0.961669921875,1,0
10680,0,-1,0,5e-324,8.15017509460449,65.4370803833008,12.3961896896362,39.46360397338871,267,10.68,10.31038761138947,16.218543052672796,0.41241550445556996,0.6487417221068981,-0.41241550445556996,0.6487417221068981,1,1
10720,0,-1,0,5e-324,10.650914192199698,71.6951065063477,13.6245565414429,46.537559509277294,268,10.72,62.51847743987875,30.709171295166772,2.5007390975952077,1.2283668518066992,2.5007390975952077,1.2283668518066992,0,0
10760,0,-1,0,5e-324,10.1721773147583,79.6215057373047,13.0245885848999,52.7872123718262,269,10.76,11.96842193603519,14.999198913575293,0.47873687744139737,0.599967956542999,-0.47873687744139737,-0.599967956542999,1,1
10800,0,-1,0,5e-324,9.50394058227539,81.3303146362305,12.5323963165283,53.0500831604004,270,10.8,16.705918312072367,12.30480670928971,0.6682367324829102,0.4921922683715998,-0.6682367324829102,-0.4921922683715998,1,1
10840,0,-1,0,5e-324,9.80237102508545,81.37713623046879,13.147526741027805,53.1261138916016,271,10.84,7.460761070251624,15.378260612487944,0.2984304428100586,0.6151304244995046,0.2984304428100586,0.6151304244995046,1,1
10880,0,-1,0,5e-324,11.2228784561157,80.6001663208008,14.202002525329599,48.2251129150391,272,10.88,35.512685775755436,26.361894607544226,1.4205074310302503,1.0544757843017933,1.4205074310302503,1.0544757843017933,0,0
10920,0,-1,0,5e-324,12.331091880798304,74.7370681762695,15.210094451904302,42.57737350463871,273,10.92,27.70533561706571,25.202298164368123,1.1082134246826048,1.0080919265747035,1.1082134246826048,1.0080919265747035,0,0
10960,0,-1,0,5e-324,14.4191789627075,73.4785690307617,17.8118495941162,41.3713722229004,274,10.96,52.20217704772869,65.04387855529595,2.0880870819091957,2.601755142211898,2.0880870819091957,2.601755142211898,0,0
11000,0,-1,0,5e-324,16.5344619750977,73.64593505859379,18.326736450195305,41.65610885620121,275,11.0,52.8820753097561,12.872171401977901,2.115283012390199,0.5148868560791051,2.115283012390199,0.5148868560791051,0,1
11040,0,-1,0,5e-324,15.540032386779801,74.6600112915039,17.1750755310059,43.405113220214794,276,11.04,24.860739707947975,28.791522979735788,0.9944295883178977,1.151660919189407,-0.9944295883178977,-1.151660919189407,0,0
11080,0,-1,0,5e-324,14.6561031341553,75.9142303466797,17.004837036132802,44.1951713562012,277,11.08,22.098231315612015,4.255962371827317,0.8839292526245011,0.1702384948730966,-0.8839292526245011,-0.1702384948730966,0,1
11120,0,-1,0,5e-324,14.881499290466301,76.6792984008789,17.7227725982666,46.5953712463379,278,11.12,5.634903907775155,17.948389053345377,0.2253961563110014,0.7179355621337997,0.2253961563110014,0.7179355621337997,1,1
11160,0,-1,0,5e-324,15.388326644897498,80.7157897949219,17.266544342040998,50.984615325927706,279,11.16,12.670683860779626,11.40570640563983,0.5068273544311968,0.4562282562256037,0.5068273544311968,-0.4562282562256037,1,1
11200,0,-1,0,5e-324,6.83362007141113,84.5965881347656,0.949950277805328,55.4022369384766,280,11.2,213.86766433716375,407.9148516059004,8.554706573486367,16.31659406423567,-8.554706573486367,-16.31659406423567,0,0
11240,0,-1,0,5e-324,-13.906926155090305,81.3765640258789,-17.7753677368164,51.722408294677706,281,11.24,518.5136556625239,468.1329503655324,20.740546226501436,18.725318014621728,-20.740546226501436,-18.725318014621728,0,0
11280,0,-1,0,5e-324,-23.139793395996104,76.46449279785159,-21.733419418335,49.327877044677706,282,11.28,230.8216810226499,98.95129203796714,9.232867240905799,3.958051681518601,-9.232867240905799,-3.958051681518601,0,0
11320,0,-1,0,5e-324,-23.6425704956055,77.1222686767578,-21.6556415557861,50.87157821655271,283,11.32,12.569427490234618,1.9444465637224346,0.5027770996093963,0.07777786254889918,-0.5027770996093963,0.07777786254889918,1,1
11360,0,-1,0,5e-324,-24.2137145996094,77.6177749633789,-21.940176010131804,50.765377044677706,284,11.36,14.278602600097782,7.11336135864273,0.5711441040038991,0.2845344543457031,-0.5711441040038991,-0.2845344543457031,1,1
11400,0,-1,0,5e-324,-25.95100212097169,77.3363800048828,-25.978853225707997,49.778736114502,285,11.4,43.43218803405626,100.96693038940249,1.7372875213622905,4.038677215576193,-1.7372875213622905,-4.038677215576193,0,0
11440,0,-1,0,5e-324,-30.4011287689209,74.6553115844727,-28.1733837127686,47.08211517333979,286,11.44,111.25316619873257,54.863262176516265,4.450126647949208,2.1945304870606037,-4.450126647949208,-2.1945304870606037,0,0
11480,0,-1,0,5e-324,-30.789903640747102,72.7085342407227,-28.57429885864261,44.99141693115229,287,11.48,9.719371795654872,10.02287864685,0.38877487182620385,0.4009151458740092,-0.38877487182620385,-0.4009151458740092,1,1
11520,0,-1,0,5e-324,-31.3190402984619,70.7688980102539,-29.3885383605957,41.97983932495121,288,11.52,13.228416442870222,20.35598754882767,0.5291366577147976,0.8142395019530895,-0.5291366577147976,-0.8142395019530895,1,0
11560,0,-1,0,5e-324,-32.127197265625,66.79470062255861,-30.2120704650879,38.1616706848145,289,11.56,20.20392417907704,20.588302612304567,0.8081569671631001,0.8235321044922017,-0.8081569671631001,-0.8235321044922017,0,0
11600,0,-1,0,5e-324,-32.3901519775391,63.273406982421896,-30.760320663452106,35.2710113525391,290,11.6,6.573867797852591,13.706254959105404,0.262954711914098,0.5482501983642045,-0.262954711914098,-0.5482501983642045,1,1
11640,0,-1,0,5e-324,-33.1540946960449,60.7516479492188,-32.204776763916,32.8687705993652,291,11.64,19.098567962644623,36.11140251159656,0.7639427185058025,1.4444561004638956,-0.7639427185058025,-1.4444561004638956,1,0
11680,0,-1,0,5e-324,-33.761810302734396,57.94087219238279,-32.5833587646484,31.2959823608398,292,11.68,15.192890167237717,9.464550018310216,0.6077156066894958,0.37858200073240056,-0.6077156066894958,-0.37858200073240056,1,1
11720,0,-1,0,5e-324,-33.5385322570801,57.55854797363279,-32.2431869506836,31.6223983764648,293,11.72,5.581951141357293,8.50429534911983,0.22327804565429688,0.3401718139648011,0.22327804565429688,0.3401718139648011,1,1
11760,0,-1,0,5e-324,-32.9918823242188,57.438316345214794,-31.945325851440398,31.508296966552702,294,11.76,13.666248321532784,7.4465274810802375,0.5466499328612997,0.29786109924320314,0.5466499328612997,0.29786109924320314,1,1
